No.,bo text,zh text
98,"ཉིན་དང་མཚན་མོ་ལན་གསུམ་དུ།།<br>ཕུང་པོ་གསུམ་པ་གདོན་བྱ་ཞིང་།།<br>རྒྱལ་དང་བྱང་ཆུབ་སེམས་བརྟེན་ནས<sup class=\footnote-marker\"">*</sup><i class=\""footnote\"">བརྟེན་པས་] C བརྟེན་ནས། The reading བརྟེན་ནས་is supported by the Sanskrit source <span class=\""text-quotation-style\"">āśrayāt</span> and all commentaries <span class=\""text-quotation-style\"">KP, GDR, KS, TS use བརྟེན་ནས་</span>. The instrumental case marker ནས་better matches the Sanskrit ablative āśrayāt than པས་.</i>།།<br>ལྟུང་བའི་ལྷག་མ་དེས་ཞི་བྱ།།",日夜六時各三次 <br> 應須讀誦三聚戒 <br> 依於三寶菩提心 <br> 罪墮殘餘令消滅
99,རང་ངམ་གཞན་གྱི་དབང་ཡང་རུང་།།<br>གནས་སྐབས་གང་དུ་ཅི་སྤྱོད་ཀྱང་།།<br>བསླབ་པར་གསུངས་པ་གང་ཡིན་པའི།།<br>གནས་སྐབས་དེ་ལ་འབད་དེ་བསླབ།།,不論為自或為他 <br> 任何時處何作行 <br> 如經所言諸學處 <br> 於彼時處當勤學
100,"རྒྱལ་སྲས་རྣམས་ཀྱིས་<sup class=\footnote-marker\"">*</sup><i class=\""footnote\"">རྣམས་ཀྱིས་] N,Q རྣམས་ཀྱི། The instrumental case <span class=\""text-quotation-style\"">ཀྱིས་</span> is supported by the Sanskrit instrumental जिनात्मजैः <span class=\""text-quotation-style\"">jinatmajaiḥ</span> and consistently used by all commentators <span class=\""text-quotation-style\"">KP, GDR, KS, TS</span>. The agentive case is required here as the bodhisattvas are the active subjects of the learning <span class=\""text-quotation-style\"">བསླབ་</span>.</i>མི་བསླབ་པ།།<br>དེ་ནི་གང་ཡང་ཡོད་མིན་ཏེ།།<br>དེ་ལྟར་གནས་པའི་མཁས་པ་ལ།།<br>བསོད་ནམས་མི་འགྱུར་གང་ཡང་མེད།།",佛子未學之學處 <br> 任於何處亦無有 <br> 如是住戒善巧者 <br> 有何福德不能生
101,དངོས་སམ་ཡང་ན་བརྒྱུད་ཀྱང་རུང་།།<br>སེམས་ཅན་དོན་ལས་གཞན་མི་སྤྱད།།<br>སེམས་ཅན་ཁོ་ནའི་དོན་གྱི་ཕྱིར།།<br>ཐམས་ཅད་བྱང་ཆུབ་ཕྱིར་བསྔོའོ།།,或於現行或加行 <br> 唯利有情不為餘 <br> 唯為利益有情故 <br> 一切迴向菩提因
102,"རྟག་པར་དགེ་བའི་བཤེས་གཉེན་ནི།།<br>ཐེག་ཆེན་དོན་ལ་མཁས་པ་དང་།།<br>བྱང་ཆུབ་སེམས་དཔའི་བརྟུལ་ཞུགས་མཆོག།<br>སྲོག་གི་ཕྱིར་ཡང་མི་བཏང་<sup class=\footnote-marker\"">*</sup><i class=\""footnote\"">མི་བཏང་] C གཏོང་, N,Q གཏང་. The reading བཏང་ is supported by the Sanskrit त्यजेत् <span class=\""text-quotation-style\"">optative of √त्यज्</span>. This is further confirmed by KP's gloss མི་གཏོང་ངོ་ and GDR's explanation མི་བཏང་ངོ་. The variants གཏོང་ and གཏང་ appear to be orthographic variants that don't significantly alter the meaning but are less supported by the Sanskrit.</i>ངོ་།།",常時依止善知識 <br> 大乘法義善巧者 <br> 安住最勝菩薩戒 <br> 寧失身命不捨離
103,"དཔལ་འབྱུང་བ་ཡི་རྣམ་ཐར་ལས།།<br>བླ་མ་བསྟེན་པའི་ཚུལ་ལྟར་བསླབ།།<br>འདི་དང་སངས་རྒྱས་བཀའ་སྩལ་གཞན།།<br>མདོ་སྡེ་བཀླགས་<sup class=\footnote-marker\"">*</sup><i class=\""footnote\"">བཀླགས་] Q བཀླག་ ། The reading བཀླགས་ is supported by the Sanskrit source ज्ञेयं सूत्रान्तवाचनात् where वाचनात् is an ablative form indicating 'after reading'. Additionally, all commentators <span class=\""text-quotation-style\"">KP, GDR, KS, TS</span> use the perfect form བཀླགས་ in their explanations.</i>ནས་ཤེས་པར་བྱ།།",如密嚴經能害喻 <br> 依師之理當修學 <br> 此外別餘如來教 <br> 讀誦諸經可了知
104,"མདོ་སྡེ་རྣམས་ལས་བསླབ་པ་སྣང་།།<br>དེ་བས་མདོ་སྡེ་བཀླག་<sup class=\footnote-marker\"">*</sup><i class=\""footnote\"">བཀླག་] N,Q ཀླག་ ། The reading བཀླག་ is supported by the Sanskrit वाचयेत् and all commentaries. GDR uses བཀླགས་ <span class=\""text-quotation-style\"">past tense</span> while KS explicitly uses བཀླག་. The variant ཀླག་ appears to be a simplified spelling that doesn't reflect the proper Sanskrit correspondence.</i>པར་བྱ།།<br>ནམ་མཁའི་སྙིང་པོའི་མདོ་སྡེ་ནི།།<br>ཐོག་མ་ཉིད་དུ་བལྟ་བར་བྱ།།",諸經示菩薩學處 <br> 是故應當勤誦經 <br> 特於虛空藏戒經 <br> 最初受戒當先誦
105,གང་ཕྱིར་རྟག་ཏུ་སྤྱད་པ་ནི།།<br>དེ་ལས་རྒྱ་ཆེར་རབ་སྟོན་པས།།<br>བསླབ་པ་ཀུན་ལས་བཏུས་པ་ཡང་།།<br>ངེས་པར་ཡང་དང་ཡང་དུ་བལྟ།།,何故常時當學行 <br> 於彼論中多宣說 <br> 集諸菩薩學處論 <br> 定須再再勤瀏覽
106,"ཡང་ན་རེ་ཞིག་མདོར་བསྡུས་པའི།།<br>མདོ་རྣམས་ཀུན་ལས་བཏུས་པ་བལྟ།།<br>འཕགས་པ་ཀླུ་སྒྲུབ་ཀྱིས་མཛད་པའི<sup class=\footnote-marker\"">*</sup><i class=\""footnote\"">མཛད་པའི] N,Q མཛད་པ། The reading མཛད་པའི is supported by the Sanskrit ābaddhaṃ and all commentaries <span class=\""text-quotation-style\"">KP, GDR, KS, TS</span></i>།།<br>གཉིས་པོ་འང་<sup class=\""footnote-marker\"">*</sup><i class=\""footnote\"">གཉིས་པོ་འང་] N,Q གཉིས་པོ་པ་འང་། The reading གཉིས་པོ་འང་ is supported by the Sanskrit dvitīyaṃ and commentaries KP, TS <span class=\""text-quotation-style\"">གཉིས་པོའང་</span>. GDR's གཉིས་པ supports this reading as well.</i>འབད་པས་བལྟ་བར་བྱ།།",又復若樂總略者 <br> 當觀諸經集論文 <br> 聖者龍樹所作論 <br> 卷二定須勤閱讀
107,གང་ལས་གང་ནི་མ་བཀག་པ།།<br>དེ་ཉིད་སྤྱད་པར་བྱ་བ་སྟེ།།<br>འཇིག་རྟེན་སེམས་ནི་བསྲུང་བའི་ཕྱིར།།<br>བསླབ་པ་མཐོང་ནས་ཡང་དག་སྤྱད།།,若於其中未遮止 <br> 是所所許可行事 <br> 為護世間眾生心 <br> 見為學處應修行
108,"ལུས་དང་སེམས་ཀྱི་གནས་སྐབས་ལ།།<br>ཡང་དང་ཡང་དུ་བརྟག་བྱ་བ།།<br>དེ་<sup class=\footnote-marker\"">*</sup><i class=\""footnote\"">དེ་] C འདི་ ། Skt. एतद् supports དེ་. Additionally, GDR's commentary uses དེ་ཉིད་, while only KS uses འདི་ཉིད་. The reading དེ་ is preferred as it better matches both the Sanskrit and the majority of commentarial tradition.</i>ཉིད་ཁོ་ན་མདོར་ན་ནི།།<br>ཤེས་བཞིན་བསྲུང་བའི་མཚན་ཉིད་དོ།།",於自身心應隨時 <br> 數數審觀毋放任 <br> 總攝而言唯此法 <br> 是護正知之行相
109,"ལུས་ཀྱིས་<sup class=\footnote-marker\"">*</sup><i class=\""footnote\"">ཀྱིས་] N,Q ཀྱི་ | Sanskrit कायेनैव and commentaries <span class=\""text-quotation-style\"">KP, GDR, KS, TS</span> support instrumental case ཀྱིས་</i>འདི་དག་སྤྱད་<sup class=\""footnote-marker\"">*</sup><i class=\""footnote\"">སྤྱད་] D སྤྱོད་ | Sanskrit future पठिष्यामि and commentaries <span class=\""text-quotation-style\"">KP སྦྱང་, GDR སྤྱད་, KS སྤྱད་, TS སྤྱད་</span> support སྤྱད་</i>པར་བྱ།།<br>ཚིག་ཙམ་བརྗོད་པས་ཅི་ཞིག་འགྲུབ།།<br>སྨན་དཔྱད་བཀླགས་པ་ཙམ་གྱིས་ནི།།<br>ནད་པ་དག་ལ་ཕན་འགྱུར་རམ།།",此事實踐須躬行 <br> 唯誦文詞有何益 <br> 豈有徒誦醫方文 <br> 便能療愈諸病者
110,"བྱང་ཆུབ་སེམས་དཔའི་སྤྱོད་པ་ལ་འཇུག་པ་ལས། ཤེས་བཞིན་བསྲུང་བར་བྱ་<sup class=\footnote-marker\"">*</sup><i class=\""footnote\"">བསྲུང་བར་] N,Q བསྲུང་; The reading བསྲུང་བར་ is confirmed by the Sanskrit रक्षणं and supported by all commentaries <span class=\""text-quotation-style\"">KP, GDR, KS, TS</span>. The variant བསྲུང་ in N,Q appears to be a scribal abbreviation of the same term.</i>བ་སྟེ་ལེའུ་ལྔ་པའོ།།།།",入菩薩行論守護正知品第五竟
,,
1,"བསྐལ་པ་སྟོང་དུ་བསགས་པ་ཡི།།<br>སྦྱིན་དང་བདེ་གཤེགས་མཆོད་ལ་སོགས།།<br>ལེགས་སྤྱད་<sup class=\footnote-marker\"">*</sup><i class=\""footnote\"">ལེགས་སྤྱད་] C,F,G,P; སྤྱད་ I; སྦྱང་. Sanskrit सुचरितं supports ལེགས་སྤྱད་ as the correct reading.</i>གང་ཡིན་དེ་ཀུན་ཀྱང་<sup class=\""footnote-marker\"">*</sup><i class=\""footnote\"">ཀུན་ཀྱང་] C; དག་ཀྱང་ N,Q. The commentaries KP and GDR support ཀུན་ཀྱང་ as the correct reading.</i>།།<br>ཁོང་ཁྲོ་གཅིག་གིས་འཇོམས་པར་བྱེད།།",百千劫中所積集 <br> 佈施妙供供如來 <br> 所有一切諸善行 <br> 一念瞋心能摧毀
2,"ཞེ་སྡང་ལྟ་བུའི་སྡིག་པ་མེད།།<br>བཟོད་པ་ལྟ་བུའི་དཀའ་ཐུབ་མེད།།<br>དེ་བས་བཟོད་ལ་ནན་ཏན་དུ།།<br>སྣ་ཚོགས་ཚུལ་དུ་<sup class=\footnote-marker\"">*</sup><i class=\""footnote\"">ཚུལ་དུ་གྱིས་] C,N,Q གྱིས་ : D,H ཚུལ་དུ་ | The reading ཚུལ་དུ་ is supported by the Sanskrit विविधैर्नयैः and all commentaries. KP explicitly glosses སྣ་ཚོགས་པའི་ཚུལ་གྱིས་, GDR has སྒོ་དང་ཐབས་སྣ་ཚོགས་པའི་ཚུལ་གྱིས་, and KS has ཐབས་སྣ་ཚོགས་པའི་ཚུལ་གྱིས་. The variant གྱིས་ appears to be a scribal error.</i>བསྒོམ་པར་བྱ།།",重罪無如瞋恚罪 <br> 難行無如忍辱行 <br> 是故於此應慇勤 <br> 以多方便修忍辱
3,ཞེ་སྡང་ཟུག་རྔུའི་སེམས་འཆང་ན།།<br>ཡིད་ནི་ཞི་བ་ཉམས་མི་མྱོང་།།<br>དགའ་དང་བདེ་བའང་མི་འཐོབ་ལ།།<br>གཉིད་མི་འོང་ཞིང་བརྟན་མེད་འགྱུར།།,若懷瞋恚逼惱心 <br> 心不寂靜不平等 <br> 不生歡喜及安樂 <br> 寢臥不安難入寐
4,གང་དག་ནོར་དང་བཀུར་སྟི་ཡིས།།<br>དྲིན་བྱིན་དེ་ལ་བརྟེན་གྱུར་པ།།<br>དེ་དག་ཀྱང་ནི་སྡང་ལྡན་པའི།།<br>རྗེ་དཔོན་དེ་ལ་གསོད་པར་རྒོལ།།,利養恭敬施恩惠 <br> 縱令其人相親附 <br> 若使其人懷恚心 <br> 能令變叛相殺害
5,"དེ་ཡིས་མཛའ་བཤེས་སྐྱོ་བར་འགྱུར།།<br>སྦྱིན་པས་བསྡུས་ཀྱང་བསྟེན་<sup class=\footnote-marker\"">*</sup><i class=\""footnote\"">བསྟེན་] N,Q སྟེན་ ། Sanskrit सेव्यते and commentaries support བསྟེན་: KP has བསྟེན་པར་, GDR has བསྟེན་པར་, TS has བསྟེན་ཅིང་</i>མི་བྱེད།།<br>མདོར་ན་ཁྲོ་བས་<sup class=\""footnote-marker\"">*</sup><i class=\""footnote\"">བས་] C བ་ । Sanskrit क्रोधनो and commentaries support བས་: KP has ཁྲོ་བས་, GDR has ཁྲོ་བས་, KS has ཁྲོ་བས་</i>བདེར་གནས་པ།།<br>དེ་ནི་འགའ་ཡང་ཡོད་མ་ཡིན།།",由瞋親知生憎厭 <br> 施恩攝受不相親 <br>總之人若有瞋心 <br> 終不能得安樂住
6,ཁྲོ་བའི་དགྲ་ཡིས་དེ་ལ་སོགས།།<br>སྡུག་བསྔལ་དག་ནི་བྱེད་པར་འགྱུར།།<br>གང་ཞིག་བསྒྲིམས་ཏེ་ཁྲོ་འཇོམས་པ།།<br>དེ་ནི་འདི་དང་གཞན་དུ་བདེ།།,由瞋恚魔於其中 <br> 便能興起諸苦惱 <br>若人謹慎伏瞋心 <br> 現生後世皆安樂
7,"མི་འདོད་བྱས་དང་འདོད་པ་ཡི།།<br>གེགས་བྱས་པ་ལས་<sup class=\footnote-marker\"">*</sup><i class=\""footnote\"">པ་ལས་] C པ་ལ། Sanskrit vighātanāt and all commentaries support the ablative case ལས་</i>བྱུང་གྱུར་པ།།<br>ཡིད་མི་བདེ་བའི་ཟས་རྙེད་ནས།།<br>ཞེ་སྡང་བརྟས་<sup class=\""footnote-marker\"">*</sup><i class=\""footnote\"">བརྟས་] N,Q རྟས་། Sanskrit dṛpta and commentaries <span class=\""text-quotation-style\"">KP: བརྟས་, GDR: བརྟས་, KS: བརྟས་</span> support the spelling with prefix བ་</i>ཏེ་བདག་འཇོམས་སོ།།",作所不欲遮所欲 <br> 瞋恚由斯二者生 <br> 心不愉悅如飲食 <br> 長養瞋心應摧伏
8,"དེ་ལྟས་བདག་གིས་དགྲ་བོ་དེའི<sup class=\footnote-marker\"">*</sup><i class=\""footnote\"">བདག་གིས་དགྲ་བོ་དེའི] F,G བདག་པོ་དེའི; I དག་བོ་དེའི; N,Q བདག་གི་དགྲ་བོ་དེའི། The reading བདག་གིས་དགྲ་བོ་དེའི is supported by the Sanskrit तस्य...रिपोः and all commentaries <span class=\""text-quotation-style\"">KP, GDR, KS, TS</span> which consistently interpret this as referring to the 'enemy of anger' <span class=\""text-quotation-style\"">ཞེ་སྡང་གི་དགྲ་བོ</span>. The instrumental case གིས is confirmed by Sanskrit अहं as the agent.</i>།།<br>ཟས་ནི་རྣམ་པར་གཞོམ་པར་བྱ།།<br>འདི་ལྟར་བདག་ལ་གནོད་པ་ལས།།<br>དགྲ་འདི་ལ་ནི་ལས་གཞན་མེད།།",是故我應於此敵 <br> 毀其糧秣令無餘 <br> 唯除如是為我害 <br> 此敵更無他事業
9,"ཅི་ལ་བབ་ཀྱང་བདག་གིས་ནི།།<br>དགའ་བའི་ཡིད་ནི་དཀྲུགས་<sup class=\footnote-marker\"">*</sup><i class=\""footnote\"">དཀྲུགས་] N,Q དཀྲུག་ ། The reading དཀྲུགས་ is supported by the Sanskrit क्षोभ्या <span class=\""text-quotation-style\"">future passive participle of √क्षुभ्</span> and all commentaries. KP explicitly uses དཀྲུགས་པར་མི་བྱའོ་, while KS has དཀྲུགས་པར་མི་བྱ་. The completed form དཀྲུགས་ better matches the Sanskrit passive construction.</i>མི་བྱ།།<br>མི་དགའ་བྱས་ཀྱང་འདོད་མི་འགྲུབ།།<br>དགེ་བ་དག་ནི་ཉམས་པར་འགྱུར།།",我今任為何因緣 <br> 不應動亂歡喜心 <br> 不樂所求仍不得 <br> 且令諸善皆失壞
10,"གལ་ཏེ་བཅོས་སུ་ཡོད་ན་ནི།།<br>དེ་ལ་མི་དགར་ཅི་ཞིག་ཡོད།།<br>གལ་<sup class=\footnote-marker\"">*</sup><i class=\""footnote\"">གལ་ཏེ་] N,Q འོན་ཏེ། The reading གལ་ཏེ is supported by the Sanskrit यदि and all commentaries <span class=\""text-quotation-style\"">KP, GDR, KS, TS</span>. Furthermore, གལ་ཏེ appears consistently in both lines 1 and 3, maintaining the parallel structure found in Sanskrit यदि...अथ.</i>ཏེ་བཅོས་སུ་མེད་ན་ནི<sup class=\""footnote-marker\"">*</sup><i class=\""footnote\"">ནི་] N,Q ཡང་། The reading ནི is preferred as it better corresponds to Sanskrit construction and is supported by all commentaries. The particle ནི appears in both lines 1 and 3, maintaining the parallel structure of the verse.</i>།།<br>དེ་ལ་མི་དགའ་བྱས་ཅི་ཕན།།",若求補救猶可及 <br> 此時何用不樂為 <br> 若於此事無補救 <br> 為之憂惱有何益
11,"བདག་གམ་<sup class=\footnote-marker\"">*</sup><i class=\""footnote\"">བདག་གམ་] N,Q བདག་གམ་དང་. The reading without དང་ is preferred as it better matches the Sanskrit construction <span class=\""text-quotation-style\"">आत्मनो वा</span> and is supported by all commentaries <span class=\""text-quotation-style\"">KP, GDR, KS, TS</span>. The variant with དང་ appears to be a later addition attempting to make the Tibetan syntax more explicit but is unnecessary.</i>བདག་གི་བཤེས་རྣམས་ལ།།<br>སྡུག་བསྔལ་བརྙས་དང་ཚིག་རྩུབ་དང་།།<br>མི་སྙན་ཞེས་བྱ་མི་འདོད་དེ།།<br>དགྲ་ལ་དེ་ལས་བཟློག་པས་སོ།།",眾苦逼惱輕蔑行 <br> 逆耳惡名粗惡語 <br> 不欲施我及所親 <br> 豈能禁敵不出此
12,བདེ་བའི་རྒྱུ་ནི་རེས་འགའ་འབྱུང་།།<br>སྡུག་བསྔལ་རྒྱུ་ནི་ཤིན་ཏུ་མང་།།<br>སྡུག་བསྔལ་མེད་པར་ངེས་འབྱུང་མེད།།<br>དེ་བས་སེམས་ཁྱོད་བརྟན་པར་མནོས།།,安樂之因偶一生 <br> 苦因極多數無量 <br>無苦出離心不生 <br> 故心當生堅定解
13,"དཀའ་བཟློག་<sup class=\footnote-marker\"">*</sup><i class=\""footnote\"">དཀའ་བཟློག་] C,N,Q དཀའ་ཟློག་. Sanskrit दुर्गा and commentary KP's དཀའ་ཟློག་ confirm the reading བཟློག་.</i>དད་དང་ཀརྞ་<sup class=\""footnote-marker\"">*</sup><i class=\""footnote\"">ཀརྞ་] C,N,Q ཀརྣ་. Sanskrit कर्णाट and commentaries KP, GDR's ཀརྞ་ support this reading.</i>པ།།<br>བསྲེག་<sup class=\""footnote-marker\"">*</sup><i class=\""footnote\"">བསྲེག་] C བསྲེགས་, N,Q སྲེག་. Sanskrit दाह and commentary evidence supports བསྲེག་.</i>དང་བཅད་<sup class=\""footnote-marker\"">*</sup><i class=\""footnote\"">བཅད་] N,Q གཅོད་. Sanskrit छेद and commentary KP's བཅད་ confirm this reading.</i>སོགས་ཚོར་བ་ནི།།<br>དོན་མེད་བཟོད་བྱེད་ཐར་པ་ཡི།།<br>དོན་དུ་བདག་གོ་<sup class=\""footnote-marker\"">*</sup><i class=\""footnote\"">བདག་གོ་] C བདག་ཀོ་. Sanskrit अहं supports བདག་གོ་.</i>ཅི་ཕྱིར་སྔར<sup class=\""footnote-marker\"">*</sup><i class=\""footnote\"">སྔར་] C སྡར་. Commentary GDR's བསྡར་ suggests སྔར་ is secondary, but Sanskrit कातर supports སྡར་.</i>།།",為遮苦行好角鬥 <br> 燒身斷肢諸苦受 <br> 為無義事尚能忍 <br> 為求解脫復何恨
14,"གོམས་ནི་<sup class=\footnote-marker\"">*</sup><i class=\""footnote\"">ནི་ཏེ་] C,F,G ན་ N,Q; Sanskrit यद् supports the reading ནི་ཏེ་ as it better reflects the correlative construction. KP's commentary also supports this reading with གོམས་སོང་ན་</i>ཏེ་སླ་བར་མི་འགྱུར་བའི།།<br>དངོས་དེ་གང་ཡང་ཡོད་མ་ཡིན།།<br>དེ་བས་གནོད་པ་ཆུང་གོམས་པས<sup class=\""footnote-marker\"">*</sup><i class=\""footnote\"">གོམས་པས་] N,Q གོམས་ཤིང་; Reading གོམས་པས་ confirmed by Sanskrit अभ्यासात् and supported by KP's གོམས་པར་བྱས་པས་</i>།།<br>གནོད་པ་ཆེན་པོ་<sup class=\""footnote-marker\"">*</sup><i class=\""footnote\"">ཆེན་པོ་] N,Q ཆེན་པོའི་; Sanskrit महाव्यथा supports ཆེན་པོ་ as direct object rather than genitive. GDR's ཆེན་པོའང་ confirms this reading</i>བཟོད་པར་བྱོས།།",難事久習轉為易 <br> 世間何事不如此 <br> 故於小事當練修 <br> 令於大事能堪忍
15,"སྦྲུལ་<sup class=\footnote-marker\"">*</sup><i class=\""footnote\"">སྦྲུལ་] I སྤྲུལ་ ། Sanskrit उद्दंश supports སྦྲུལ་ <span class=\""text-quotation-style\"">'snake'</span>, as do all commentaries <span class=\""text-quotation-style\"">KP, GDR, KS, TS</span>. The reading སྤྲུལ་ <span class=\""text-quotation-style\"">'emanation'</span> makes no sense in context.</i>དང་ཤ་སྦྲང་དག་དང་ནི།།<br>བཀྲེས་<sup class=\""footnote-marker\"">*</sup><i class=\""footnote\"">བཀྲེས་] Q བསྐྲེས་ ། Sanskrit क्षुत् and all commentaries support བཀྲེས་ <span class=\""text-quotation-style\"">'hunger'</span>. KP explicitly glosses as ཟས་མེད་པས་བཀྲེས་པ་ <span class=\""text-quotation-style\"">'hunger due to lack of food'</span>. The variant བསྐྲེས་ is likely a scribal error.</i>སྐོམ་ལ་སོགས་ཚོར་བ་དང་།།<br>གཡན་པ་ལ་སོགས་བཅས་པ་ཡི།།<br>དོན་མེད་སྡུག་བསྔལ་ཅིས་མ་མཐོང་།།",不見蛇蟲蚊蚋苦 <br> 或為飢渴等苦逼 <br> 或生疥癩身搔痒 <br> 諸無義苦久亦安
16,"ཚ་གྲང་ཆར་དང་རླུང་སོགས་དང་།།<br>ནད་དང་འཆིང་<sup class=\footnote-marker\"">*</sup><i class=\""footnote\"">འཆིང་] «C,F,G» འཆི་ | Sanskrit बन्धन and commentaries support འཆིང་: KP འཆིང་བ་, GDR འཆིང་བ་, KS འཆིང་བ་, TS འཆིང་བ་</i>དང་རྡེག་<sup class=\""footnote-marker\"">*</sup><i class=\""footnote\"">རྡེག་] «C» བརྡེག་ «N,Q» རྟེག་ | Sanskrit ताडन and commentaries support རྡེག་/བརྡེག་: KP བརྡེག་, GDR རྡེག་, KS བརྡེག་, TS བརྡེག་</i>སོགས་ལ།།<br>བདག་གིས་བཟེ་<sup class=\""footnote-marker\"">*</sup><i class=\""footnote\"">བཟེ་] «N,Q» གཟེ་ | Sanskrit सौकुमार्य and commentaries support བཟེ་: KP བཟེ་རེ་, GDR བཟེ་རེ་, KS བཟེ་རེ་, TS བཟེ་རེ་</i>རེ་མི་བྱ་སྟེ།།<br>དེ་ལྟར་བྱས་ན་གནོད་པ་འཕེལ།།",若遇寒熱風雨侵 <br> 疾病拘囚及捶打 <br> 不應嗟吁以為苦 <br> 若以為苦害轉增
17,"ལ་ལ་བདག་གི་<sup class=\footnote-marker\"">*</sup><i class=\""footnote\"">བདག་གི་] I གིས་། The instrumental case marker གིས་ in I is not supported by the Sanskrit स्व <span class=\""text-quotation-style\"">sva</span> which is genitive/possessive. All commentaries <span class=\""text-quotation-style\"">KP, GDR, KS, TS</span> consistently use གི་. Additionally, the parallel construction with གཞན་གྱི་ in the third line supports the genitive reading.</i>ཁྲག་མཐོང་ན།།<br>དཔའ་བརྟན་ལྷག་པར་སྐྱེ་འགྱུར་ཡོད།།<br>ལ་ལ་གཞན་གྱི་ཁྲག་མཐོང་ན།།<br>བོག་<sup class=\""footnote-marker\"">*</sup><i class=\""footnote\"">བོག་] N,Q འབོག་། The reading བོག་ is preferred as it appears in the majority of witnesses and is supported by all commentaries <span class=\""text-quotation-style\"">KP, GDR, KS, TS</span>. The Sanskrit मूर्च्छां व्रजन्ति <span class=\""text-quotation-style\"">'to faint'</span> semantically aligns better with བོག་ <span class=\""text-quotation-style\"">'to be afraid/faint'</span> than འབོག་ <span class=\""text-quotation-style\"">'to perforate/pierce'</span>.</i>ཅིང་བརྒྱལ་བར་འགྱུར་བ་ཡོད།།",或人見自身出血 <br> 臨敵無卻倍勇毅 <br> 或人見他身出血 <br> 驚惶顛倒身撲地
18,"དེ་ནི་སེམས་ཀྱི་ངང་<sup class=\footnote-marker\"">*</sup><i class=\""footnote\"">ངང་བརྟན་] N དད་བརྟན་། The reading ངང་བརྟན་ is supported by Sanskrit दृढत्वेन and all commentaries <span class=\""text-quotation-style\"">KP, GDR, KS, TS</span> which explain this as mental stability <span class=\""text-quotation-style\"">སེམས་བརྟན་པ་</span>.</i>བརྟན་དང་།།<br>སྡར་<sup class=\""footnote-marker\"">*</sup><i class=\""footnote\"">སྡར་] C,P སྔར་། The reading སྡར་ is confirmed by Sanskrit कातरत्व <span class=\""text-quotation-style\"">cowardice</span> and the commentaries GDR and KS which explicitly discuss སྡར་མ་ in the context of those who faint at the sight of blood <span class=\""text-quotation-style\"">བོག་ཅིང་བརྒྱལ་བ་</span>. TS also uses སྡར་མ་.</i>མའི་ཚུལ་ལས་གྱུར་པ་ཡིན།།<br>དེ་བས་གནོད་པ་ཁྱད་བསད་ཅིང་།།<br>སྡུག་བསྔལ་རྣམས་ཀྱིས་མི་ཚུགས་བྱོས།།",彼由心性或堅毅 <br> 或復怯弱而差別 <br>是故雖負致命傷 <br> 應不以其苦為害
19,"མཁས་པས་སྡུག་བསྔལ་བྱུང་ཡང་ནི།།<br>སེམས་ཀྱི་རབ་དང་<sup class=\footnote-marker\"">*</sup><i class=\""footnote\"">རབ་དང་] C དྭང་ ། རབ་དང་ chosen based on Sanskrit प्रसादं and supported by commentaries KP <span class=\""text-quotation-style\"">རབ་ཏུ་དང་</span>, GDR <span class=\""text-quotation-style\"">རབ་ཏུ་དང་བ་</span>, KS <span class=\""text-quotation-style\"">རབ་ཏུ་དང་བ་</span>, and TS <span class=\""text-quotation-style\"">རབ་ཏུ་དང་བ་</span>. The reading དྭང་ in C appears to be a variant spelling of དང་ but རབ་དང་ better reflects the Sanskrit compound.</i>རྙོག་མི་བྱ།།<br>ཉོན་མོངས་རྣམས་དང་གཡུལ་འགྱེད་ལ།།<br>གཡུལ་འགྱེད་ཚེ་ན་གནོད་པ་མང་།།",諸有智者受苦時 <br> 不令心體受昏擾 <br>與諸煩惱作戰鬥 <br> 臨陣之時傷害多
20,"སྡུག་བསྔལ་ཐམས་ཅད་ཁྱད་བསད་ནས།།<br>ཞེ་སྡང་ལ་སོགས་དགྲ་འཇོམས་པ།།<br>དེ་དག་རྒྱལ་བྱེད་དཔའ་བོ་སྟེ།།<br>ལྷག་མ་རོ་ལ་གསོད་པའོ<sup class=\footnote-marker\"">*</sup><i class=\""footnote\"">གསོད་པའོ] I གསད་པའོ། The reading གསོད་པའོ is supported by the Sanskrit मृतमारकाः and the commentaries: KP explicitly uses གསོད་པར་བྱེད, while GDR, KS, and TS all interpret the meaning as གསོད་པ. The present tense གསོད་ better matches the Sanskrit present participle मारक and fits the metaphorical context of 'killing what is already dead' <span class=\""text-quotation-style\"">རོ་ལ་གསོད་པ</span>.</i>།།",雖有極苦斷命傷 <br> 瞋等怨敵終降伏 <br> 是為勇士稱勝者 <br> 否則惟殲自死敵
