bo text,en text,zh text,bo commentary 1 ,en commentary 1 ,lzh commentary 1 ,bo Commentary 2,en commentary,lzh commentary,
ཕྱག་འཚལ་བསྐལ་པའི་ཐ་མའི་མེ་ལྟར། །<br>འབར་བའི་ཕྲེང་བའི་དབུས་ན་གནས་མ། །,"Homage to her who dwells in the center of a blazing garland, like the fire at the end of an eon.",敬禮安住劫末火 熾燃光環正中央 ,ཕྱག་འཚལ་བསྐལ་པའི་ཐ་མའི་མེ་ལྟར། །འབང་བའི་ཕྲེང་བའི་དབུས་ན་བཞུགས་མ། །ཞེས་པ་ནི་བསྐལ་བའི་ཐ་མ་ལ་ཉི་མ་བདུན་ཤར་བའི་དུས་སུ་ས་རྡོ་རི་བྲག་ཐམས་ཅད་མེ་འབར་ནས་འོང་བས། དེ་ལྟ་བུའི་དབུས་ན་བཞུགས་པའོ། །,"Homage to you who dwell amidst garlands of flames like the fire at the end of an eon. This means that at the end of the eon, when seven suns rise, all earth, stones, and mountains blaze with fire, and she dwells in the midst of such flames.",敬禮如劫末之火 安住熾燃鬘中尊 此謂劫末時七日齊照 大地山石皆成熾燃 安住如是火焰中也,ཕྱག་འཚལ་བསྐལ་པ་མཐའ་མའི་མེ་ལྟར། ། འབར་བའི་ཕྲེང་བའི་དབུས་ན་གནས་མ། ། ཞེས་པ་ནི། བསྐལ་པ་མཐའ་མ་ཉི་མ་བདུན་ཤར་བའི་དུས་སུ་ས་རྡོ་རི་བྲག་ཐམས་ཅད་མེ་ལྟར་འབར་ནས་འོང་བས། །དེ་ལྟ་བུའི་དབུས་ན་བཞུགས་པའོ། །,"Homage to her who dwells amidst garlands blazing like the fire at the end of an eon. This refers to her abiding in the midst of what is like the time at the end of an eon when seven suns appear and all earth, stones, and mountains blaze like fire.",敬礼如劫末之火 安住炽燃鬘中央 谓如劫末七日升起时 一切土石山岩如火燃烧 安住如是中央也 ,
གཡས་བརྐྱངས་གཡོན་བསྐུམས་ཀུན་ནས་བསྐོར་དགའི། །<br>དགྲ་ཡི་དཔུང་ནི་རྣམས་པར་འཇོམས་མ། །,"With right leg extended and left bent, she rejoices in the surrounding retinue, utterly destroying the armies of her foes.",右伸左屈 普皆喜悅 摧毀敵方之軍陣,གཡས་བརྐྱང་གཡོན་བསྐུམ་ཀུན་ནས་བསྐོར་དགའ། །ཞེས་པ་ནི་བཞུགས་ཚུལ་སྔ་མ་ལས་བཟློག་པའོ། །དགྲ་ཡི་དཔུང་ནི་རྣམ་པར་འཇོམས་མ། །ཞེས་པ་ནི་མི་མཐུན་པ་ཐམས་ཅད་འཇོམས་པས་སོ། །,"With right leg extended, left leg bent, circling all around with joy. This is the posture opposite to the previous one. Destroyer of the forces of enemies. This is because she conquers all adversities.",右伸左屈周遍喜 此乃前述坐姿之相反 摧毁敌军者 此乃摧毁一切不顺,གཡས་བརྐྱང་གཡོན་བསྐུམ་ཀུན་ནས་བསྐོར་དགའི། ། ཞེས་པ་ནི། བཞུགས་ཚུལ་སྔ་མ་ལས་བཟློག་པའོ། ། དགྲ་ཡི་དཔུང་ནི་རྣམ་པར་འཇོམས་མ། ། ཞེས་པ་ནི། མི་མཐུན་པ་ཐམས་ཅད་འཇོམས་པའོ། །,"With right leg extended, left leg bent, circling with joy. This means: the sitting posture is opposite to the previous one. Destroyer of the forces of enemies. This means: she conquers all adversities.",右伸左屈周遍喜 此乃坐姿与前相反 摧毁一切敌军者 此乃摧毁一切违逆者 ,
ཕྱག་འཚལ་ས་གཞིའི་ངོས་ལ་ཕྱག་གི། །<br>མཐིལ་གྱིས་བསྣུན་ཅིང་ཞབས་ཀྱི་རྡུང་མ། །,Homage to her who strikes the surface of the earth with her palm and stomps upon it with her foot.,敬禮以手掌按大地 以足尖踐踏地面,ཕྱག་འཚལ་ས་གཞིའི་ངོས་ལ་ཕྱག་གི །མཐིལ་གྱིས་སྣུན་ཅིང་ཞབས་ཀྱིས་རྡུང་མ། །ཞེས་པ་ནི་ཕྱག་གཡོན་པ་ས་ལ་བརྡབས་ནས་སྡིགས་མཛུབ་མཛད་པའོ།,Homage to you who strike the earth's surface with the palm of your hand and pound it with your feet. This refers to striking the earth with the left hand while making the threatening gesture with the index finger.,礼敬以手掌击地面 以足踏踩者 此乃左手击地作威猛指 ,ཕྱག་འཚལ་ས་གཞིའི་ངོས་ལ་ཕྱག་གི། མཐིལ་གྱིས་བསྣུན་ཅིང་ཞབས་ཀྱིས་བརྡུང་མ། ། ཞེས་པ་ནི། ཕྱག་གཡོན་པ་ས་ལ་བརྡབས་ནས་སྡིགས་མཛུབ་མཛད་པའོ། །,"Homage to you who strike the earth's surface with the palm of your hand and pound it with your feet. This means: with the left hand striking the ground, making the threatening mudra.",礼敬以手掌击地面 以足踏踩者 此乃左手击地作威猛指 ,
ཁྲོ་གཉེར་སྤྱན་མཛད་ཡི་གེ་ཧཱུཾ་གིས། །<br>རིམ་པ་བདུན་པོ་རྣམས་ནི་འགེམས་མ། །,"With wrathful glance and the syllable HŪṂ, she crushes all seven levels.",面現怒容 以吽字音，摧毀七重世界者。,ཁྲོ་གཉེར་ཅན་མཛད་ཡི་གེ་ཧཱུྃ་གིས། །ཞེས་པ་ནི་ངག་ཏུ་ཡི་གེ་ཧཱུྃ་ཞེས་བརྗོད་པས་ཕྱག་གཡས་རྡོ་རྗེ་འཛིན་པ་དེ་ལས་འོད་ཟེར་འཕྲོས་པས། རིགས་བདུན་གྱི་གནས་བཀང་ནས་དེ་རྣམསས་ཀྱི་བར་ཆད་ཐམས་ཅད་སེལ་བའོ། །རིམ་པ་བདུན་པོ་རྣམས་ནི་འགེངས་མ། །ཞེས་པ་དང་གཉིས་ཀྱི་དོན་ནོ། །,"Making a wrathful frown, with the syllable HŪṂ. This means that by verbally uttering the syllable HŪṂ, light rays emanate from the vajra held in the right hand, filling the abodes of the seven classes and dispelling all their obstacles. The meaning of 'filling the seven levels' is contained in these two lines.",作忿怒眉相 以吽字 此乃口诵吽字 右手持金刚杵放光 充满七处 除彼等一切障碍 充满七层者 此二者义同 ,ཁྲོ་གཉེར་ཅན་མཛད་ཡི་གེ་ཧཱུཾ་གིས། ཞེས་པ་ནི། ངག་ཏུ་ཧཱུྃ་ཞེས་བརྗོད་པས་ཕྱག་གཡས་རྡོ་རྗེ་འཛིན་པ་དེ་ལས་འོད་ཟེར་འཕྲོས་པས་འགྲོ་བ་རིགས་བདུན་གྱི་གནས་བཀང་ནས། དེ་རྣམས་ཀྱི་བར་ཆད་ཐམས་ཅད་སེལ་བས་ན། རིམས་པ་བདུན་པོ་རྣམས་ནི་འགེམས་མ། ཞེས་པའམ་ཡང་ན་ས་འོག་རིམ་པ་བདུན་ན་གནས་པའི་ཀླུ་དང་ལྷ་མིན་སོགས་དུམ་བུར་འཐོར་བར་མཛད་པའོ། །,"Making a wrathful frown, with the syllable HŪṂ. This means: by uttering 'hūṃ' vocally, the right hand holding a vajra from which light rays emanate, filling the abodes of the seven classes of beings. Since this dispels all their obstacles, 'She who destroys the seven levels.' Alternatively, it means she scatters into pieces the nagas and asuras dwelling in the seven levels beneath the earth.",作忿怒眉相 以吽字 此乃口诵吽字 右手持金刚杵放光 遍满七趣众生处 除彼一切障碍 故称摧毁七层者 或谓摧散地下七层所住龙及阿修罗等 ,
ཕྱག་འཚལ་བདེ་མ་དགེ་མ་ཞི་མ། །<br>མྱ་ངན་འདས་ཞི་སྤྱོལ་ཡུལ་ཉིད་མ། །,"Homage to the blissful, virtuous, and peaceful one, whose sphere of action is the peace of nirvana.",敬禮安樂、善德、寂靜者 涅槃寂靜是汝行境,ཕྱག་འཚལ་བདེ་མ་དགེ་མ་ཞི་མ། །ཞེས་པ་ནི་བདེ་བ་ནི་ཟག་མེད་ཀྱི་བདེ་བ་དང་ལྡན་མ། དགེ་མ་ནི་སྤང་བྱ་ཉོན་མོངས་དང་བྲལ་བས་དགེ་མ། མྱ་ངན་འདས་ཞི་སྤྱོད་ཡུལ་ཉིད་མ། །ཞེས་པ་ནི་རྟོག་པ་ཟད་པས་མྱ་ངན་འདས། སྡུག་བསྔལ་ཞི་བས་ཞི། དེའི་ངང་ལ་སྤྱོད་པའོ། །,"Homage to the blissful one, the virtuous one, the peaceful one. 'Blissful' means endowed with uncontaminated bliss. 'Virtuous' means free from the afflictions that are to be abandoned. 'Whose field of activity is peace, nirvana.' This means that with the exhaustion of conceptual thought comes nirvana; with the cessation of suffering comes peace; and she acts within that state.",礼敬乐者善者寂者 乐者 具无漏乐者 善者 离所断烦恼故为善者 涅槃寂行境者 此乃尽分别故涅槃 息苦故寂 住于彼性中而行,ཕྱག་འཚལ་བདེ་མ་དགེ་མ་ཞི་མ། ། ཞེས་པ་ནི། བདེ་མ་ནི་ཟག་མེད་ཀྱི་བདེ་བ་དང་ལྡན་མ། དགེ་མ་ནི་བླང་བྱ་ཉོན་མོངས་པ་དང་བྲལ་བས་དགེ་མ། །ཞི་མ་ནི་སྡུག་བསྔལ་ཞི་བ་དེའི་ངང་ནས་སྤྱོད་པའོ། ། མྱ་ངན་འདས་ཞི་སྤྱོད་ཡུལ་ཉིད་མ། ། ཞེས་པ་ནི། རྟོག་པ་ཟད་པས་མྱ་ངན་འདས། སྡུག་བསྔལ་ཞི་བས་ཞི་བདེའི་ངང་ལ་སྤྱོད་པའོ། །,"Homage to you who are blissful, virtuous, and peaceful. This means: 'Blissful' refers to possessing uncontaminated bliss; 'Virtuous' means free from afflictions that should be abandoned; 'Peaceful' means acting from a state where suffering is pacified. Your field of activity is peace, nirvana itself. This means: with conceptual thoughts exhausted, there is nirvana; with suffering pacified, one acts in a state of peaceful bliss.",礼敬乐善寂静者 乐者 具无漏之乐 善者 离烦恼当取故为善 寂者 息苦而住 涅槃寂静行境者 此乃尽分别故涅槃  息苦故住寂乐中 ,
སྭཱ་ཧཱ་ཨོཾ་དང་ཡང་དག་ལྡན་པས། །<br>སྡིག་པ་ཆེན་པོ་འཇོམས་པ་ཉིད་མ། །,"Perfectly endowed with SVĀHĀ and OṂ, she is the one who overcomes great wrongdoing.",具足「娑哈」及「嗡」字 能摧重大諸罪業,སྭཱ་ཧཱ་ཨོཾ་དང་ཡང་དག་ལྡན་མ། །སྡིག་པ་ཆེན་པོ་འཇོམས་པ་ཉིད་མ། །ཞེས་པ་ནི་བདག་སྐུའི་ངོ་བོས་ཉོན་མོངས་པ་གཞན་གྱི་སྤང་བྱ་ཉོན་མོངས་པ་འཇོམས་པའོ། །,"She who is perfectly endowed with SVĀHĀ and OṂ. She who destroys great negativities. This means that through the nature of her enlightened form, she conquers the afflictions that are to be abandoned by others.",具足娑婆诃唵者 摧毁大罪恶者 此乃以自身体性摧毁他人所断烦恼,སྭཱ་ཧཱ་ཨོཾ་དང་ཡང་དག་ལྡན་པས། ། སྡིག་པ་ཆེན་པོ་འཇོམས་པ་ཉིད་མ། ། ཞེས་པ་ནི། བདག་ཆོས་སྐུའི་ངོ་བོས་ནི། གཞན་གྱི་སྤང་བྱ་ཉོན་མོངས་པ་འཇོམས་པའོ། །,"Perfectly endowed with SVĀHĀ and OṂ, Destroyer of great negativities. This means: through my nature as the dharmakāya, I destroy others' afflictions that are to be abandoned.",具足娑婆诃唵 摧毁大罪恶者 此乃自法身本性 摧毁他应断烦恼 ,
ཕྱག་འཚལ་ཀུན་ནས་བསྐོར་རབ་དགའ་བའི། །<br>དགྲ་ཡི་ལུས་ནི་རྣམ་པར་འགེམས་མ། །<br>ཡི་གེ་བཅུ་པའི་སྔགས་ནི་བཀོད་པའི། །,"Homage to her, surrounded by a retinue of the truly joyous, who shatters the bodies of foes, having arrayed the ten-syllable mantra.",敬禮普皆繞行極喜者 徹底摧毀怨敵之身軀 安立十字明咒,ཕྱག་འཚལ་ཀུན་ནས་བསྐོར་རབ་དགའ་བས། །དགྲ་ཡི་ལུས་ནི་རྣམ་པར་འགེམས་མ།། ཡི་གེ་བཅུ་པའི་ངག་ནི་བཀོད་པའི། །ཨོཾ་ཏཱ་རེ་ཏུཏྟཱ་རེ་ཏུ་རེ་སྭཱ་ཧཱ། ཞེས་པ་ནི་ཞི་བའི་སྔགས་སོ། །,"Homage to you who, with complete joyful circumambulation, utterly destroy the bodies of enemies. With speech arranged in the ten syllables: OṂ TĀRE TUTTĀRE TURE SVĀHĀ. This is the pacifying mantra.",稽首普遍圍繞極歡喜 摧毀敵人身體者 安立十字真言語 唵 達咧 都達咧 都咧 娑婆訶 此乃息災真言 ,ཕྱག་འཚལ་ཀུན་ནས་བསྐོར་རབ་དགའ་བའི། དགྲ་ཡི་ལུས་ནི་རབ་ཏུ་འགེམ་མ། ། ཡི་གེ་བཅུ་པའི་ངག་ནི་བཀོད་པའི། ། ཨོཾ་ཏཱ་རེ་ཏུཏྟཱ་རེ་ཏུ་རེ་སྭཱ་ཧཱ། ཞེས་པ་ཞི་བའི་སྔགས་སོ། །,"Homage to you who encircles with complete joy, who utterly destroys the bodies of enemies. With speech arranged in the ten syllables: OṂ TĀRE TUTTĀRE TURE SVĀHĀ. This is the pacifying mantra.",禮敬普遍圍繞極喜悅 摧毀敵人身體 安置十字咒語 唵 達列 都達列 都列 娑婆訶 此為息災咒 ,
རིག་པ་ཧཱུཾ་ལས་སྒྲོལ་མ་ཉིད་མ། །,"The Liberator herself, from the awareness-syllable HŪṂ.",明咒吽字化現之度母,རིག་པ་ཧཱུྃ་ལས་སྒྲོལ་མ་ཉིད་མ། །ཨོཾ་ན་མསྟཱ་རེ། ན་མོ་ཧ་རེ། ཧཱུྃ་ཧ་རེ་སྭཱ་ཧཱ། ཞེས་པ་ཁྲོ་མོའི་སྔགས་སོ། །,From the awareness syllable HŪṂ arises Tārā herself. OṂ NAMASTĀRE NAMO HARE HŪṂ HARE SVĀHĀ. This is the wrathful mantra.,明咒吽字即度母 唵 南摩達咧 南摩哈咧 吽哈咧 娑婆訶 此乃忿怒真言,རིག་པ་ཧཱུཾ་ལས་སྒྲོལ་མ་ཉིད་མ། ། ཨོཾ་ན་མཿ ཏཱ་རེ་ན་མོ་ཧ་རི་ཧཱུཾ་ཧ་ར་སྭཱ་ཧཱ། །ཞེས་པ་ཁྲོ་མོའི་སྔགས་སོ། །,From the awareness syllable HŪṂ arises Tārā herself. OṂ NAMAḤ TĀRE NAMO HARI HŪṂ HARA SVĀHĀ. This is the wrathful mantra.,明咒吽字即度母 唵 南無 達列 南無 哈日 吽 哈拉 娑婆訶 此為忿怒咒 ,
ཕྱག་འཚལ་ཏུ་རེའི་ཞབས་ནི་བརྡབས་པས། །<br>ཧཱུཾ་གི་རྣམ་པའི་ས་བོན་ཉིད་མ། །,"Homage to her who stamps her foot with TURE, whose seed syllable is in the form of HŪṂ,",敬禮度瑞足踏地 吽字種子之體性,ཕྱག་འཚལ་ཏུ་རེ་ཞབས་ནི་བརྡབས་པས། །ཞེས་པ་ནི་ཁྲོ་མོར་སྤྲུལ་ནས་ཞབས་ཀྱིས་བྲོ་འཁྲབ་པས་བར་ཆད་རང་སར་ཞི་བའོ། །ཧཱུྃ་གི་རྣམ་པའི་ས་བོན་ཉིད་མ། །ཞེས་པ་ནི་ཧཱུྃ་ལས་ཁྲོ་མོའི་སྐུར་བསྐྱེད་པའོ། །,"Homage to TURE, who stamps her feet. This means that by manifesting in wrathful form and dancing with her feet, obstacles are naturally pacified. You whose seed syllable is in the form of HŪṂ. This means generating the wrathful form from the syllable HŪṂ.",稽首都咧足踏地 此乃化現忿怒尊 以足舞蹈令障礙自然息滅 吽字種子相 此乃從吽字生起忿怒身,ཕྱག་འཚལ་ཏུ་རེའི་ཞབས་ནི་བརྡབས་པས། ། ཧཱུཾ་གི་རྣམ་པའི་ས་བོན་ཉིད་མ། ། ཞེས་པ་ནི། ལས་ཁྲོ་མོའི་སྐུར་བསྐྱེད་པའོ། །,"Homage to you whose feet stamp with TURE, who are the seed in the form of HŪṂ. This refers to generating oneself in the form of the wrathful deity.",禮敬都列足踏地 以吽字為種子 此為修忿怒身 ,
རི་རབ་མནྡྷ་ར་དང་འབིགས་བྱེད། །<br>འཇིག་རྟེན་གསུམ་རྣམས་གཡོ་བ་ཉིད་མ། །,"Shaking Mount Meru, Mandara, and Vindhya, and causing the three worlds to tremble.",須彌、曼達、毗笈耶 三界皆能震動者,རི་རབ་མནྡ་ར་དང་འབིགས་བྱེད། །ཅེས་པ་ནི། སྟོང་གསུམ་གྱི་ཕྱི་རོལ་ན་རི་རབ་མཎྜ་ར་བ་ཞེས་བྱ་བ་ཡང་ཡི་གེ་ཧཱུྃ་འདིར་ཡིག་སྐྱོན་ཅུང་ཟད་ཡོད་དམ་དཔྱད་གི་འོད་ཟེར་གྱིས་འབིགས་པར་བྱེད་པའོ། །འཇིག་རྟེན་གསུམ་པོ་གཡོ་བ་ཉིད་མ། །ཞེས་པ་ནི་འདོད་པའི་ཁམས། གཟུགས་ཁམས། གཟུགས་མེད་ཁམས་གཡོ་བར་བྱེད་པའོ། །,"Mount Meru, Mandara and Vindhya. This means: Outside the three thousand worlds there is a mountain called Mount Mandara, which—there may be a slight textual error here—is penetrated by the light rays of contemplation. You who cause the three worlds to tremble. This refers to causing the desire realm, form realm, and formless realm to tremble.",須彌曼陀羅與穿透 此謂三千界外有山名曼陀羅 或此吽字有微小文誤當審察 以光芒穿透 令三界震動者 此謂欲界、色界、無色界皆令震動,རི་རབ་མན་དྷཱ་ར་དང་འབིགས་བྱེད། ། ཞེས་པ་ནི། སྟོང་གསུམ་གྱི་ཕྱི་རོལ་ན་རི་རབ་མན་དཱ་ར་བ་ཞེས་བྱ་བ་ཡང་ཡི་གེ་ཧཱུཾ་གི་འོད་ཟེར་གྱིས་འབིགས་པར་བྱེད་པའོ། ། འཇིག་རྟེན་གསུམ་པོ་གཡོ་བ་ཉིད་མ། ། ཞེས་པ་ནི། འདོད་ཁམས་གཟུགས་ཁམས་གཟུགས་མེད་ཁམས་གཡོ་བར་བྱེད་པའོ། །,"Mount Meru, Mandāra, and Vindhya. This means: Even Mount Mandāra, which is outside the three thousand worlds, is penetrated by the light rays of the syllable HŪṂ. You who cause the three worlds to tremble. This means: causing the desire realm, form realm, and formless realm to tremble.",須彌曼陀羅與穿透 此謂：三千界外有山名須彌曼陀羅 亦為吽字光芒所穿透 三界震動者 此謂：欲界、色界、無色界皆令震動 ,
ཕྱག་འཚལ་ལྷ་ཡི་མཚོ་ཡི་རྣམ་པའི། །<br>རི་དྭགས་རྟགས་ཅན་ཕྱག་ན་བསྣམས་མ། །,"Homage to her who holds in her hand a moon marked like a deer, in the form of a celestial lake.",敬禮手持天海相 具鹿印記之寶月,ཕྱག་འཚལ་ལྷ་ཡི་མཚོ་ཡི་རྣམ་པའི། །རི་དྭགས་རྟགས་ཅན་ཕྱག་ན་བསྣམས་མ། །ཞེས་པ་ནི་ལྷའི་མཚོ་ལྟ་བུའི་ཟླ་བའི་དཀྱིལ་འཁོར་ཕྱག་ན་བསྣམས་པ་དེས་ཉོན་མོངས་པའི་དུག་སེལ་བའི་རྟགས་སོ། །རི་དྭགས་རྟགས་ཅན་ཞེས་པ་ཟླ་བའོ། །,"Homage to you who hold in your hand the mark of a wild animal in the form of a divine lake. This means holding in her hand a moon disc like a divine lake, which is a sign of eliminating the poison of afflictions. 'The mark of a wild animal' refers to the moon.",稽首天湖之形相 鹿相標記手中持 此謂如天湖之月輪手中所持 彼能除滅煩惱毒之標記 鹿相標記者 即月也,ཕྱག་འཚལ་ལྷ་ཡི་མཚོ་ཡི་རྣམ་པའི། ། རི་དྭགས་རྟགས་ཅན་ཕྱག་ན་བསྣམས་མ། ། ཞེས་པ་ནི། ཟླ་བའི་དཀྱིལ་འཁོར་ལྷའི་མཚོ་ལྟ་བུའི་ཟླ་བའི་དཀྱིལ་འཁོར་ཕྱག་ན་བསྣམས་པའོ། །དེ་ཉོན་མོངས་པའི་དུག་སེལ་བའི་རྟགས་སོ། །རི་དྭགས་རྟགས་ཅན་ཞེས་པ་ཟླ་བའོ། །,Homage to you who holds in your hand the mark of a deer in the form of a divine lake. This means: holding in her hand the moon disc like a divine lake. This is the symbol that removes the poison of afflictions. 'Mark of a deer' refers to the moon.,禮敬天湖之形相 手持鹿印者 此謂：手持如天湖之月輪 此為消除煩惱毒之標誌 鹿印者即月 ,
ཏཱ་ར་གཉིས་བརྗོད་ཕཊ་ཀྱི་ཡི་གེ། །<br>དུག་རྣམས་མ་ལུས་པ་ནི་སེལ་མ། །,"By twice saying TĀRĀ and uttering PHAṬ, she completely dispels all poisons.",誦二「達惹」及「呸」字 能除一切諸劇毒,ཏཱ་ར་གཉིས་བརྗོད་ཕཊ་ཀྱི་ཡི་གེས། །དུག་རྣམས་མ་ལུས་པར་ནི་སེལ་མ། །ཞེས་པ་ནི་ཏཱ་རེ་ཞེས་པའི་སྔགས་དེས་བརྟན་པ་དང་གཡོ་བའི་དུག་སེལ་བའོ། །,"By pronouncing the two Tāras with the syllable PHAT, she dispels all poisons without exception. This means that the mantra 'Tāre' dispels both stationary and moving poisons.",以二度唱誦怛囉及發吒字 能除一切毒 此謂以怛囉咒語能除靜止與流動之毒,ཏཱ་ར་གཉིས་བརྗོད་ཕཊ་ཀྱི་ཡི་གེས། ། དུག་རྣམས་མ་ལུས་པར་ནི་སེལ་མ། ། ཏཱ་ར་ཞེས་པའི་སྔགས་དེས་བརྟན་པ་དང་གཡོ་བའི་དུག་སེལ་བའོ།།,"By pronouncing the two Tāras with the syllable PHAT, all poisons without exception are eliminated. This mantra called 'Tāra' dispels both stationary and moving poisons.",以二多羅及發吒字 能除一切諸毒 多羅咒能除靜動之毒 ,
ཕྱག་འཚལ་ལྷ་ཡི་ཚོགས་རྣམས་རྒྱལ་པོ། །<br>ལྷ་དང་མིའམ་ཅི་ཡིས་བསྟེན་མ། །,"Homage to her, whom the hosts of gods, their kings, and the kinnaras all attend.",敬禮天眾君王 天及人非人所依,ཕྱག་འཚལ་ལྷ་ཡི་ཚོགས་ཀྱི་རྒྱལ་པོ། །ལྷ་དང་མིའམ་ཅི་ཡིས་བསྟེན་མ། །ཞེས་པ་གཉིས་ནི་ལྷ་ཚོགས་དེ་རྣམས་ཀྱི་དཔོན་ནམ་མིའམ་ཅིའི་རྒྱལ་པོ་ལྗོན་པ་ལ་སོགས་པས་ཞབས་ལ་མཆོད་པའོ། །,"Homage to you who are worshipped by the hosts of gods, kings, gods, and kinnara. This pair of lines refers to her being worshipped at her feet by the leaders of the divine hosts or the kings of kinnaras such as Druma and others.",頂禮天眾之王 為天與緊那羅所依怙 此二句謂彼等天眾之主或緊那羅王等以樹木等供養於足下,ཕྱག་འཚལ་ལྷ་ཡི་ཚོགས་རྣམས་རྒྱལ་པོ། ། ལྟ་དང་མི་འམ་ཅི་ཡིས་བསྟེན་མ། ། ཞེས་པ་གཉིས་ནི་ལྷ་ཚོགས་དེ་རྣམས་ཀྱི་དཔོན་ནམ་མི་འམ་ཅི་ཡི་རྒྱལ་པོ་ལྗོན་པ་ལ་སོགས་པས་ཞབས་ལ་མཆོད་པའོ།,"Homage to you who are worshipped by the hosts of gods, kings, kiṃnaras and humans. This pair of lines refers to the chief of the divine hosts or the king of kiṃnaras and humans who worship at her feet with offerings such as trees.",頂禮天眾之王 為天及人非人所敬 此二句謂諸天眾之主或人非人之王樹等供養其足 ,
ཀུན་ནས་གོ་ཆ་དགའ་བའི་བརྗིད་ཀྱིས། །,"By the splendor of her joyous, all-encompassing armor,",周身披甲 喜悅威嚴,ཀུན་ནས་གོ་ཆ་དགའ་བའི་བརྗེད་ཀྱིས། །ཞེས་པ་ནི་ལྷའི་སྐུ་དང་སྔགས་ཀྱི་གོ་ཆའི་ཚུལ་དུ་བྱས་པའོ། །,With the armor of universal joy. This refers to assuming the form of the deity's body and mantra as armor.,以歡喜憶念遍佩甲冑 此謂以天身及咒語作為甲冑之法 ,ཀུན་ནས་གོ་ཆ་དགའ་བའི་བརྗིད་ཀྱིས། །ཞེས་པ་ནི། ལྷའི་སྐུ་དང་སྔགས་ཀྱི་གོ་ཆའི་ཚུལ་དུ་གནས་པའོ། །,With the brilliance of joyful armor in all directions. This indicates that she abides in the form of the divine body and the armor of mantras.,以歡喜威嚴遍披甲冑 此謂住於天身及咒甲冑之相 ,
རྩོད་དང་རྨི་ལམ་ངན་པ་སེལ་མ། །,She dispels all disputes and bad dreams.,能除鬥諍與惡夢,རྩོད་དང་རྨི་ལམ་ངན་པ་སེལ་མ། །ཞེས་པ་ནི་མུ་སྟེགས་ཀྱི་རྩོད་པ་དང་རྨི་ལམ་ངན་པ་སེལ་བའོ། །,She who dispels disputes and bad dreams. This means she dispels disputes with non-Buddhists and bad dreams.,能除諍論與惡夢 此謂能除外道之諍論與惡夢 ,རྩོད་དང་རྨི་ལམ་ངན་པ་སེལ་མ། ། ཞེས་པ་ མུ་སྟེགས་ཀྱི་རྩོད་པ་དང་རྨི་ལམ་ངན་པ་སེལ་བའོ། །,Dispeller of disputes and bad dreams. This means she dispels the disputes of non-Buddhists and bad dreams.,能除諍論及惡夢 此謂能除外道諍論及惡夢 ,
